,avgoktas,coolingdegreedays,coolingdegreedaysnormal,date.ampm,date.day,date.epoch,date.hour,date.iso8601,date.min,date.month,date.monthname,date.monthname_short,date.pretty,date.rfc822,date.sec,date.tz_long,date.tz_offset_hours,date.tz_offset_text,date.tz_short,date.weekday,date.weekday_short,date.yday,date.year,dewpoint,fog,gdegreedays,hail,heatingdegreedays,heatingdegreedaysnormal,humidity,icon,max_dewpoint,max_humidity,max_pressure,max_temperature,max_temperature_normal,max_temperature_record,max_temperature_record_year,max_visibility,max_wind_speed,min_dewpoint,min_humidity,min_pressure,min_temperature,min_temperature_normal,min_temperature_record,min_temperature_record_year,min_visibility,min_wind_speed,monthtodatecoolingdegreedays,monthtodatecoolingdegreedaysnormal,monthtodateheatingdegreedays,monthtodateheatingdegreedaysnormal,monthtodateprecipitation,monthtodateprecipitationnormal,monthtodatesnowfall,precip,precipnormal,preciprecord,preciprecordyear,precipsource,pressure,rain,since1jancoolingdegreedays,since1jancoolingdegreedaysnormal,since1janprecipitation,since1janprecipitationnormal,since1julheatingdegreedays,since1julheatingdegreedaysnormal,since1julsnowfall,since1sepcoolingdegreedays,since1sepcoolingdegreedaysnormal,since1sepheatingdegreedays,since1sepheatingdegreedaysnormal,snow,snowdepth,snowfall,temperature,temperature_normal,thunder,tornado,visibility,wind_dir,wind_dir_degrees,wind_speed
10,8.0,0,,PM,11,979185600,12,2001-01-11T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 11, 2001","Thu, 11 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Thursday,Thu,10,2001,35,0,0,0,24,,,cloudy,37,87,30.15,44,47,57,1998,2.0,4,34,66,30.01,39,37,30,2011,1.0,0,,,,,,,,0.0,0.02,0.0,2018,,30.09,0,,,,,,,,,,,,0,,0.0,42,,0,0,2.0,,,2
11,3.0,0,,PM,12,979272000,12,2001-01-12T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 12, 2001","Fri, 12 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Friday,Fri,11,2001,33,0,0,0,19,,,partlycloudy,37,87,30.33,55,47,57,2003,5.0,4,28,36,30.12,37,37,26,2011,1.0,2,,,,,,,,0.0,0.02,0.0,2018,,30.25,0,,,,,,,,,,,,0,,0.0,46,,0,0,3.0,,,3
12,2.0,0,,PM,13,979358400,12,2001-01-13T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 13, 2001","Sat, 13 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Saturday,Sat,12,2001,34,0,0,0,25,,,mostlysunny,37,87,30.3,48,47,57,2017,4.0,13,28,62,30.18,32,37,32,2001,1.0,0,,,,,,,,0.0,0.02,0.0,2018,,30.24,0,,,,,,,,,,,,0,,0.0,40,,0,0,2.0,,,4
13,7.0,0,,PM,14,979444800,12,2001-01-14T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 14, 2001","Sun, 14 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Sunday,Sun,13,2001,37,0,0,0,20,,,mostlycloudy,39,93,30.42,51,47,55,2003,3.0,9,32,54,30.27,39,37,32,2005,1.0,0,,,,,,,,0.0,0.03,0.0,2018,,30.33,0,,,,,,,,,,,,0,,0.0,45,,0,0,2.0,,,3
14,7.0,0,,PM,15,979531200,12,2001-01-15T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 15, 2001","Mon, 15 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Monday,Mon,14,2001,37,0,0,0,24,,,rain,39,93,30.45,48,47,57,2013,2.0,4,34,66,30.33,35,37,32,2016,1.0,0,,,,,,,,0.0,0.03,0.0,2018,,30.4,1,,,,,,,,,,,,0,,0.0,42,,0,0,1.0,,,1
15,8.0,0,,PM,16,979617600,12,2001-01-16T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 16, 2001","Tue, 16 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Tuesday,Tue,15,2001,39,0,0,0,21,,,rain,41,87,30.42,46,47,64,2018,2.0,7,39,76,30.24,42,37,32,2005,1.0,0,,,,,,,,0.0,0.03,0.0,2018,,30.33,1,,,,,,,,,,,,0,,0.0,44,,0,0,1.0,,,2
16,7.0,0,,PM,17,979704000,12,2001-01-17T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 17, 2001","Wed, 17 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Wednesday,Wed,16,2001,39,1,0,0,20,,,hazy,41,93,30.36,51,47,57,2003,2.0,7,36,62,30.09,39,37,32,2013,0.0,0,,,,,,,,0.0,0.03,0.0,2018,,30.23,0,,,,,,,,,,,,0,,0.0,45,,0,0,1.0,,,1
17,8.0,0,,PM,18,979790400,12,2001-01-18T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 18, 2001","Thu, 18 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Thursday,Thu,17,2001,41,1,0,0,20,,,hazy,41,93,30.24,48,47,59,2003,2.0,9,39,71,30.06,42,37,33,2009,1.0,0,,,,,,,,0.0,0.03,0.0,2018,,30.15,0,,,,,,,,,,,,0,,0.0,45,,0,0,1.0,,,3
18,5.0,0,,PM,19,979876800,12,2001-01-19T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 19, 2001","Fri, 19 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Friday,Fri,18,2001,37,0,0,0,16,,,partlysunny,43,93,30.36,57,47,60,2018,4.0,11,30,36,30.18,42,37,32,2011,1.0,2,,,,,,,,0.0,0.03,0.0,2018,,30.27,0,,,,,,,,,,,,0,,0.0,50,,0,0,2.0,,,4
19,2.0,0,,PM,20,979963200,12,2001-01-20T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 20, 2001","Sat, 20 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Saturday,Sat,19,2001,34,0,0,0,18,,,mostlysunny,37,87,30.36,60,47,62,2014,4.0,4,30,34,29.98,33,37,28,2011,1.0,0,,,,,,,,0.0,0.02,0.0,2018,,30.17,0,,,,,,,,,,,,0,,0.0,46,,0,0,2.0,,,2
20,2.0,0,,PM,21,980049600,12,2001-01-21T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 21, 2001","Sun, 21 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Sunday,Sun,20,2001,37,1,0,0,20,,,hazy,41,93,30.06,57,47,62,2015,3.0,4,30,51,29.89,32,37,30,2011,1.0,0,,,,,,,,0.0,0.02,0.0,2018,,30.01,0,,,,,,,,,,,,0,,0.0,44,,0,0,1.0,,,2
21,6.0,0,,PM,22,980136000,12,2001-01-22T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 22, 2001","Mon, 22 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Monday,Mon,21,2001,39,1,0,0,19,,,hazy,45,93,30.06,57,47,64,2003,2.0,11,34,55,29.83,35,37,30,2002,0.0,0,,,,,,,,0.0,0.03,0.0,2018,,29.96,0,,,,,,,,,,,,0,,0.0,46,,0,0,1.0,,,2
22,8.0,0,,PM,23,980222400,12,2001-01-23T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 23, 2001","Tue, 23 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Tuesday,Tue,22,2001,41,0,0,0,19,,,rain,43,87,30.09,48,47,59,2013,6.0,11,39,76,29.95,44,36,28,2008,1.0,2,,,,,,,,0.0,0.03,0.0,2018,,30.0,1,,,,,,,,,,,,0,,0.0,46,,0,0,3.0,,,5
23,8.0,0,,PM,24,980308800,12,2001-01-24T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 24, 2001","Wed, 24 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Wednesday,Wed,23,2001,32,0,0,0,24,,,rain,37,76,30.15,44,47,64,2014,6.0,13,28,53,30.01,39,37,28,2016,6.0,2,,,,,,,,0.0,0.03,0.0,2018,,30.07,1,,,,,,,,,,,,0,,0.0,42,,0,0,6.0,,,6
24,7.0,0,,PM,25,980395200,12,2001-01-25T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 25, 2001","Thu, 25 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Thursday,Thu,24,2001,32,0,0,0,26,,,rain,36,93,30.27,44,48,60,2014,6.0,9,30,57,30.09,33,37,26,2016,2.0,0,,,,,,,,0.0,0.03,0.0,2018,,30.16,1,,,,,,,,,,,,0,,0.0,38,,0,0,4.0,,,4
25,7.0,0,,PM,26,980481600,12,2001-01-26T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 26, 2001","Fri, 26 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Friday,Fri,25,2001,33,0,0,0,26,,,rain,37,93,30.3,46,48,64,2013,6.0,4,28,62,30.09,32,37,32,2001,1.0,0,,,,,,,,0.0,0.03,0.0,2018,,30.2,1,,,,,,,,,,,,0,,0.0,39,,0,0,2.0,,,2
26,5.0,0,,PM,27,980568000,12,2001-01-27T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 27, 2001","Sat, 27 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Saturday,Sat,26,2001,36,0,0,0,22,,,rain,39,93,30.39,50,49,66,1999,6.0,11,34,62,30.21,37,37,30,2008,2.0,0,,,,,,,,0.0,0.03,0.0,2018,,30.28,1,,,,,,,,,,,,0,,0.0,44,,0,0,4.0,,,6
27,6.0,0,,PM,28,980654400,12,2001-01-28T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 28, 2001","Sun, 28 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Sunday,Sun,27,2001,34,0,0,0,24,,,rain,39,93,30.45,48,49,62,2013,6.0,7,30,62,30.3,33,38,30,2008,1.0,0,,,,,,,,0.0,0.03,0.0,2018,,30.38,1,,,,,,,,,,,,0,,0.0,40,,0,0,3.0,,,2
28,6.0,0,,PM,29,980740800,12,2001-01-29T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 29, 2001","Mon, 29 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Monday,Mon,28,2001,36,0,0,0,28,,,partlysunny,39,87,30.39,50,49,62,2017,6.0,7,16,62,30.09,24,38,24,2001,1.0,0,,,,,,,,0.0,0.03,0.0,2018,,30.25,0,,,,,,,,,,,,0,,0.0,37,,0,0,3.0,,,3
29,6.0,0,,PM,30,980827200,12,2001-01-30T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 30, 2001","Tue, 30 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Tuesday,Tue,29,2001,39,0,0,0,18,,,partlysunny,41,93,30.3,53,50,66,2007,4.0,11,37,54,29.95,41,39,30,2007,1.0,0,,,,,,,,0.0,0.03,0.0,2018,,30.12,0,,,,,,,,,,,,0,,0.0,47,,0,0,2.0,,,3
30,7.0,0,,PM,31,980913600,12,2001-01-31T12:00:00+0800,00,1,January,Jan,"12:00 PM CST on January 31, 2001","Wed, 31 Jan 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Wednesday,Wed,30,2001,39,0,0,0,16,,,rain,43,82,30.24,55,50,62,2007,6.0,11,30,47,30.09,44,39,32,2008,2.0,2,,,,,,,,0.0,0.03,0.0,2018,,30.16,1,,,,,,,,,,,,0,,0.0,50,,0,0,3.0,,,6
31,6.0,0,,PM,1,981000000,12,2001-02-01T12:00:00+0800,00,2,February,Feb,"12:00 PM CST on February 01, 2001","Thu, 01 Feb 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Thursday,Thu,31,2001,32,0,0,0,19,,,partlysunny,37,81,30.24,51,50,64,2007,5.0,4,25,35,30.06,41,39,32,2008,2.0,0,,,,,,,,0.0,0.02,0.0,2018,,30.16,0,,,,,,,,,,,,0,,0.0,46,,0,0,3.0,,,2
32,7.0,0,,PM,2,981086400,12,2001-02-02T12:00:00+0800,00,2,February,Feb,"12:00 PM CST on February 02, 2001","Fri, 02 Feb 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Friday,Fri,32,2001,37,0,0,0,22,,,rain,39,87,30.21,48,50,64,2013,3.0,9,34,66,29.95,39,39,28,2008,1.0,0,,,,,,,,0.0,0.02,0.0,2018,,30.1,1,,,,,,,,,,,,0,,0.0,44,,0,0,2.0,,,3
33,7.0,0,,PM,3,981172800,12,2001-02-03T12:00:00+0800,00,2,February,Feb,"12:00 PM CST on February 03, 2001","Sat, 03 Feb 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Saturday,Sat,33,2001,39,0,0,0,18,,,rain,43,93,30.21,53,51,64,2013,6.0,7,34,50,30.06,41,39,32,2018,1.0,2,,,,,,,,0.0,0.02,0.0,2018,,30.13,1,,,,,,,,,,,,0,,0.0,47,,0,0,3.0,,,3
34,5.0,0,,PM,4,981259200,12,2001-02-04T12:00:00+0800,00,2,February,Feb,"12:00 PM CST on February 04, 2001","Sun, 04 Feb 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Sunday,Sun,34,2001,38,0,0,0,20,,,partlysunny,43,93,30.21,55,51,66,2013,6.0,9,34,51,29.92,35,40,32,2015,1.0,0,,,,,,,,0.0,0.02,0.0,2018,,30.08,0,,,,,,,,,,,,0,,0.0,45,,0,0,3.0,,,2
35,6.0,0,,PM,5,981345600,12,2001-02-05T12:00:00+0800,00,2,February,Feb,"12:00 PM CST on February 05, 2001","Mon, 05 Feb 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Monday,Mon,35,2001,40,0,0,0,16,,,partlysunny,41,87,30.01,55,52,59,2006,5.0,4,37,51,29.86,44,40,30,2008,1.0,0,,,,,,,,0.0,0.02,0.0,2018,,29.92,0,,,,,,,,,,,,0,,0.0,50,,0,0,2.0,,,4
36,7.0,0,,PM,6,981432000,12,2001-02-06T12:00:00+0800,00,2,February,Feb,"12:00 PM CST on February 06, 2001","Tue, 06 Feb 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Tuesday,Tue,36,2001,41,0,0,0,15,,,mostlycloudy,43,93,30.21,59,52,66,2013,4.0,7,37,48,29.98,41,40,32,1998,1.0,0,,,,,,,,0.0,0.02,0.0,2018,,30.05,0,,,,,,,,,,,,0,,0.0,50,,0,0,2.0,,,2
37,5.0,0,,PM,7,981518400,12,2001-02-07T12:00:00+0800,00,2,February,Feb,"12:00 PM CST on February 07, 2001","Wed, 07 Feb 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Wednesday,Wed,37,2001,43,0,0,0,16,,,rain,45,93,30.3,59,52,66,2007,6.0,9,37,59,30.12,39,41,32,1998,1.0,0,,,,,,,,0.0,0.02,0.0,2018,,30.22,1,,,,,,,,,,,,0,,0.0,49,,0,0,4.0,,,4
38,8.0,0,,PM,8,981604800,12,2001-02-08T12:00:00+0800,00,2,February,Feb,"12:00 PM CST on February 08, 2001","Thu, 08 Feb 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Thursday,Thu,38,2001,44,0,0,0,14,,,rain,46,93,30.3,55,52,64,2009,6.0,11,43,63,30.12,46,41,32,2004,2.0,2,,,,,,,,0.0,0.02,0.0,2018,,30.22,1,,,,,,,,,,,,0,,0.0,50,,0,0,4.0,,,6
39,6.0,0,,PM,9,981691200,12,2001-02-09T12:00:00+0800,00,2,February,Feb,"12:00 PM CST on February 09, 2001","Fri, 09 Feb 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Friday,Fri,39,2001,43,1,0,0,14,,,hazy,50,94,30.36,59,53,66,2009,6.0,4,37,45,30.21,42,41,35,2008,0.0,0,,,,,,,,0.0,0.02,0.0,2018,,30.3,0,,,,,,,,,,,,0,,0.0,50,,0,0,2.0,,,2
40,8.0,0,,PM,10,981777600,12,2001-02-10T12:00:00+0800,00,2,February,Feb,"12:00 PM CST on February 10, 2001","Sat, 10 Feb 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Saturday,Sat,40,2001,44,0,0,0,14,,,cloudy,46,93,30.33,55,53,69,2009,5.0,9,41,62,29.98,46,41,32,2012,1.0,0,,,,,,,,0.0,0.02,0.0,2018,,30.15,0,,,,,,,,,,,,0,,0.0,50,,0,0,2.0,,,3
41,8.0,0,,PM,11,981864000,12,2001-02-11T12:00:00+0800,00,2,February,Feb,"12:00 PM CST on February 11, 2001","Sun, 11 Feb 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Sunday,Sun,41,2001,43,0,0,0,16,,,rain,45,87,30.24,51,53,64,2016,4.0,7,41,67,30.01,46,42,33,2012,1.0,0,,,,,,,,0.0,0.02,0.0,2018,,30.08,1,,,,,,,,,,,,0,,0.0,48,,0,0,2.0,,,4
42,8.0,0,,PM,12,981950400,12,2001-02-12T12:00:00+0800,00,2,February,Feb,"12:00 PM CST on February 12, 2001","Mon, 12 Feb 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Monday,Mon,42,2001,41,0,0,0,19,,,rain,43,93,30.42,48,53,66,2016,5.0,7,37,66,30.18,44,42,35,2008,1.0,0,,,,,,,,0.0,0.03,0.0,2018,,30.28,1,,,,,,,,,,,,0,,0.0,46,,0,0,3.0,,,3
43,6.0,0,,PM,13,982036800,12,2001-02-13T12:00:00+0800,00,2,February,Feb,"12:00 PM CST on February 13, 2001","Tue, 13 Feb 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Tuesday,Tue,43,2001,36,0,0,0,18,,,partlysunny,39,87,30.57,55,53,73,2009,6.0,4,30,41,30.42,39,42,33,2008,2.0,0,,,,,,,,0.0,0.03,0.0,2018,,30.48,0,,,,,,,,,,,,0,,0.0,47,,0,0,5.0,,,3
44,2.0,0,,PM,14,982123200,12,2001-02-14T12:00:00+0800,00,2,February,Feb,"12:00 PM CST on February 14, 2001","Wed, 14 Feb 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Wednesday,Wed,44,2001,34,0,0,0,20,,,mostlysunny,37,93,30.48,57,53,73,2009,6.0,7,28,38,30.18,32,42,32,2001,1.0,0,,,,,,,,0.0,0.03,0.0,2018,,30.34,0,,,,,,,,,,,,0,,0.0,44,,0,0,4.0,,,3
45,3.0,0,,PM,15,982209600,12,2001-02-15T12:00:00+0800,00,2,February,Feb,"12:00 PM CST on February 15, 2001","Thu, 15 Feb 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Thursday,Thu,45,2001,38,0,0,0,17,,,partlycloudy,41,93,30.42,59,53,66,1999,6.0,4,34,42,30.27,37,42,30,2016,1.0,0,,,,,,,,0.0,0.03,0.0,2018,,30.36,0,,,,,,,,,,,,0,,0.0,48,,0,0,2.0,,,2
46,7.0,0,,PM,16,982296000,12,2001-02-16T12:00:00+0800,00,2,February,Feb,"12:00 PM CST on February 16, 2001","Fri, 16 Feb 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Friday,Fri,46,2001,41,0,0,0,16,,,mostlycloudy,43,87,30.39,55,54,69,2015,4.0,9,37,54,30.06,42,42,35,2006,1.0,0,,,,,,,,0.0,0.03,0.0,2018,,30.25,0,,,,,,,,,,,,0,,0.0,48,,0,0,2.0,,,3
47,4.0,0,,PM,17,982382400,12,2001-02-17T12:00:00+0800,00,2,February,Feb,"12:00 PM CST on February 17, 2001","Sat, 17 Feb 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Saturday,Sat,47,2001,41,0,2,0,13,,,partlycloudy,43,87,30.21,62,54,69,2015,3.0,9,39,45,30.04,42,42,33,2011,1.0,0,,,,,,,,0.0,0.03,0.0,2018,,30.13,0,,,,,,,,,,,,0,,0.0,52,,0,0,2.0,,,4
48,8.0,0,,PM,18,982468800,12,2001-02-18T12:00:00+0800,00,2,February,Feb,"12:00 PM CST on February 18, 2001","Sun, 18 Feb 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Sunday,Sun,48,2001,44,1,2,0,12,,,hazy,46,87,30.12,59,54,66,2004,2.0,4,43,59,29.95,46,42,35,1997,0.0,0,,,,,,,,0.0,0.03,0.0,2018,,30.04,0,,,,,,,,,,,,0,,0.0,52,,0,0,1.0,,,2
49,7.0,0,,PM,19,982555200,12,2001-02-19T12:00:00+0800,00,2,February,Feb,"12:00 PM CST on February 19, 2001","Mon, 19 Feb 2001 12:00:00 +0800",0,Asia/Shanghai,8.0,+0800,CST,Monday,Mon,49,2001,45,0,5,0,10,,,mostlycloudy,48,87,30.15,60,55,66,2017,2.0,7,43,55,30.01,50,43,32,2005,1.0,0,,,,,,,,0.0,0.03,0.0,2018,,30.08,0,,,,,,,,,,,,0,,0.0,55,,0,0,1.0,,,3
